KR5g0029	道法會元-明-
KR5b0140	太上洞玄靈寶三元品戒功德輕重經-六朝-
KR5b0150	靈寶領教濟度金書--寧全真
KR5a0185	太真玉帝四極明科經-六朝-
KR5a0036	太上太玄女青三元品誡拔罪妙經-唐-
KR5d0055	雲笈七籤-唐-張君房
KR5a0259	太玄八景籙-唐-
KR5g0216	洞玄靈寶二十四生圖經--
KR5a0104	玉清無極總真文昌大洞仙經註--衛琪
KR5b0270	太上淨明院補奏職局太玄都省須知--許旌陽
KR5g0030	上清靈寶大法(一)--王契真
KR5e0040	無上祕要--
KR5a0220	靈寶無量度人上經大法--
KR5d0084	上清太玄集-金-侯善淵
KR5b0250	靈寶玉鑑--
KR5i0003	元始大洞玉經--
KR5c0150	太上說玄天大聖真武本傳神咒妙經--
KR5i0076	懺法大觀--
KR6s0013	一切經音義-唐-慧琳
KR3k0012	太平御覽-宋-李昉
KR5f0016	天原發微--鮑雲龍
KR5e0068	法海遺珠-明-
KR5g0162	上清道寶經-宋-
KR5b0231	太上洞玄靈寶授度儀--陸修靜
KR5a0022	元始五老赤書玉篇真文天書經--
KR5i0001	元始大洞玉經--
KR5a0308	歷世真仙體道通鑑--趙道一
KR5b0130	上清眾經諸真聖祕--
KR5f0017	集註太玄經--揚雄
KR5g0033	道門定制--呂元素
KR5a0224	清微元降大法--
KR5a0005	太上無極總真文昌大洞仙經--文昌帝君
KR5a0078	太上三洞神咒-明-
KR5h0032	漢天師世家--張國祥
KR5h0009	皇經集註(高上玉皇本行集經註)--周玄貞
KR5a0094	太上洞玄靈寶無量度人上品經法-南宋-陳春榮
KR5e0041	三洞珠囊--王懸河
KR5e0031	道教義樞--孟安排
KR4h0003	六臣註文選-梁-蕭統
KR5d0035	金鎖流珠引--李淳風
KR5b0295	道教靈驗記--杜光庭
KR5a0190	太上靈寶朝天謝罪大懺--
KR5e0034	上清道類事相--王懸河
KR5g0047	傳授經戒儀註訣-唐初期-
KR5a0155	上清太玄九陽圖--侯善淵
KR5g0202	上清元始變化寶真上經九靈太妙龜山玄籙-六朝-
